Number,Name,Pokedex
021,Spearow,"Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne. Inept at flying high. However, it can fly around very fast to protect its territory."
022,Fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest. A Pokemon that dates back many years. If it senses danger, it flies high and away, instantly."
023,Ekans,"Moves silently and stealthily. Eats the eggs of birds, such as Pidgey and Spearow, whole. The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
024,Gold,It is rumored that the ferocious warning markings on its belly differ from area to area. The frightening patterns on its belly have been studied. Six variations have been confirmed.
025,Pikachu,"When several of these Pokemon gather, their electricity could build and cause lightning storms. It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you."
026,Raichu,"Its long tail serves as a ground to protect itself from its own high voltage power. When electricity builds up inside its body, it becomes feisty. It also glows in the dark."
027,Sandshrew,"Burrows deep underground in arid locations far from water. It only emerges to hunt for food. Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew."
028,Sandslash,"Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape. It is skilled at slashing enemies with its claws. If broken, they start to grow back in a day."
029,Nidoran_F,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns. A mild-mannered Pokemon that does not like to fight. Beware, its small horns secrete venom."
030,Nidorina,"The female's horn develops slowly. Prefers physical attacks such as clawing and biting. When resting deep in its burrow, its thorns always retract. This is proof that it's relaxed."
031,Nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves. Tough scales cover the sturdy body of this Pokemon. It appears that the scales grow in cycles.
032,Nidoran_M,"Stiffens its ears to sense danger. The larger its horns, the more powerful it secretes venom. Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting."
033,Nidorino,"An aggressive Pokemon that is quick to attack. The horn on its head secretes a powerful venom. Its horns contain venom. If they are stabbed into an enemy, the impact makes the poison leak out."
034,Nidorking,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones. Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond."
035,Clefairy,"Its magical and cute appeal has many admirers. It's rare and found only in certain areas. Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often."
036,Clefable,"A timid fairy Pokemon that is rarely seen. It will run and hide the moment it senses people. They appear to be very protective of their own world. It's a kind of fairy, rarely seen by people."
037,Vulpix,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older. Both its fur and its tails are beautiful. As it grows, the tails split and form more tails."
038,Ninetales,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse. According to an enduring legend, 9 noble saints were united and reincarnated into this Pokemon."
039,Jigglypuff,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep. Uses its alluring eyes to enrapture its foe. It then sings a pleasing melody that lulls the foe to sleep."
040,Wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size. Its body is full of elasticity. By inhaling deeply, it can continue to inflate itself without limit."
041,Zubat,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets. Emits ultrasonic cries while it flies. They act as a sonar used to check for objects in its way.
042,Golbat,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly. It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and suck blood."
043,Oddish,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds. It may be mistaken for a clump of weeds. If you try to yank it out the ground, it shrieks horribly."
044,Gloom,"The fluid that oozes from its mouth isn't drool. It's a nectar that is used to attract prey. Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose-bending stink."
045,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up. Flaps its broad flower petals to scatter its poisonous pollen. The flapping sound is very loud."
046,Paras,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host. Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.
047,Parasect,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places. The bug host is drained of energy by the mushrooms on its back. They appear to do all the thinking.
048,Venonat,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night. Its large eyes act as radars. In a bright place, you can see that they are clusters of many tiny eyes."
049,Venomoth,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has. The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact.
050,Diglett,"Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground. It prefers dark places. It spends most of its time underground, though it may pop up in caves."
051,Dugtrio,"A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground. A team of triplets that can burrows over 60 MPH. Due to this, some people think it is an earthquake."
052,Meowth,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change. Appears to be more active at night. It loves round and shiny things. It can't stop from picking them up.
053,Persian,"Although its fur has many admirers, it's tough to raise as a pet because of its fickle meanness. The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen."
054,Psyduck,"While lulling its enemies with its vacant look, this wily Pokemon will use psychokinetic powers. Always tormented by headaches. It uses psychic powers, but it's not known if it intends to do so."
055,Golduck,"Often seen swimming elegantly by lake shores. It's often mistaken for the Japanese monster, Kappa. Its slim and long limbs end in broad flippers. They are used for swimming gracefully in lakes."
056,Mankey,Extremely quick to anger. It could be docile one moment then thrashing away the next instant. An agile Pokemon that lives in trees. It angers easily and will not hesitate to attack anything.
057,Primeape,Always furious and tenacious to boot. It will not abandon chasing its quarry until it's caught. It stops being angry only when nobody else is around. To view this moment is very difficult.
058,Growlithe,"Very protective of its territory. It will bark and bite to repel intruders from its space. A Pokemon with a friendly nature. However, it will bark fiercely at anything invading its territory."
059,Arcanine,A Pokemon that has been admired since the past for its beauty. It runs agilely as if on wings. A legendary Pokemon in China. Many people are charmed by its grace and beauty while running.
060,Poliwag,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand. The direction of the spiral on the belly differs by area. It is more adept at swimming than walking.
061,Poliwhirl,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy. Under attack, it uses its belly spiral to put the foe to sleep. It then makes its escape."
062,Poliwrathl,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers. Swims powerfully using all the muscles in its body. It can even overtake champion swimmers.
063,Abra,"Using its ability to read minds, it will identify impending danger and Teleport to safety. Sleeps 18 hours a day. If it senses danger, it will teleport to safety even as it sleeps."
064,Kadabra,"It emits special alpha waves from its body that induce headaches just by being close by. Many odd things happen if this Pokemon is close by. For example, it makes clocks run backwards."
065,Alakazam,"Its brain can outperform a super-computer. Its intelligence quotient is said to be 5,000. A Pokemon that can memorize anything. It never forgets what it learns -- that's why this Pokemon is so smart."
066,Machop,Loves to build its muscles. It trains in all styles of martial arts to become even stronger. Very powerful in spite of its small size. Its mastery of many martial arts makes it very tough.
067,Machoke,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions. The belt around its waist holds back its energy. Without it, this Pokemon would be unstoppable."
068,Machamp,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon. One arm alone can move mountains. Using all four arms, this Pokemon fires off awesome punches."
069,Bellsprout,A carnivorous Pokemon that traps and eats bugs. It uses its root feet to soak up needed moisture. Prefers hot and humid places. It ensnares tiny insects with its vines and devours them.
070,Weepinbell,"It spits out PoisonPowder to immobilize the enemy and then finishes it with a spray of Acid. When hungry, it swallows anything that moves. Its hapless prey is melted inside by strong acids."
071,Victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there. Lures prey with the sweet aroma of honey. Swallowed whole, the prey is melted in a day, bones and all."
072,Tentacool,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid. It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.
073,Tentacruel,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey. Its 80 tentacles can stretch and contract freely. They wrap around prey and weaken it with poison."
074,Geodude,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them. Commonly found near mountain trails, etc. If you step on one by accident, it gets angry."
075,Graveler,"Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction. Often seen rolling down mountain trails. Obstacles are just things to roll over, not avoid."
076,Golem,"Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage. Once it sheds its skin, its body turns tender and whitish. Its hide hardens when exposed to air."
077,Ponyta,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time. Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.
078,Rapidash,"Very competitive, this Pokemon will chase anything that moves fast in the hopes of racing it. Just loves to run! If it sees something faster than itself, it will give chase at top speed."
079,Slowpoke,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack. Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.
080,Slowbro,"The Shellder that is latched onto Slowpoke's tail is said to feed on the host's left over scraps. Lives lazily by the sea. If the Shellder on its tail comes off, it becomes a Slowpoke again."
081,Magnemite,Uses anti-gravity to stay suspended. Appears without warning and uses Thunder Wave and similar moves. It is born with the ability to defy gravity. It floats in air on powerful electro-magnetic waves.
082,Magneton,"Formed by several Magnemites linked together. They frequently appear when sunspots flare up. Generates strange radio signals. It raises the temperature by 3.6F degrees within 3,300 feet."
083,Farfetch'd,"The spring of green onions it holds is its weapon. It is used much like a metal sword. Lives where reedy plants grow. They are rarely seen, so it's thought that their numbers are decreasing."
084,Doduo,"A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints. Its short wings make flying difficult. Instead, this Pokemon runs at high speeds on developed legs."
085,Dodrio,"Using its three brains to execute complex plans. While two heads sleep, one head stays awake. One of Doduo's 2 heads splits to form a unique species. It runs close to 40 MPH in prairies."
086,Seel,The protruding horn on its head is very hard. It is used for bashing through thick ice. Loves freezing cold conditions. Relishes swimming in a frigid climate of around 14 degrees.
087,Dewgong,"Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters. Its entire body is a snowy-white. Unharmed by even intense cold, it swims powerfully in icy waters."
088,Grimer,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories. Made of hardened sludge. It smells too putrid to touch. Even weeds don't grow in its path.
089,Muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison. Smells so awful, it can cause fainting. Through degeneration, it lost its sense of smell."
090,Shellder,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open. The shell can withstand any attack. However, when it is open, the tender body is exposed."
091,Cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen. For protection, it uses its harder-than-diamonds shell. It also shoots spikes from the shell."
092,Gastly,"Almost invisible, this gaseous Pokemon cloaks the target and puts it to sleep without notice. Said to appear in decrepit, deserted buildings. It has no real shape as it appears to be made out of gas."
093,Haunter,"Because of its ability to slip through block walls, it is said to be from another dimension. By licking, it saps the victim's life. It causes shaking that won't stop until the victims demise."
094,Gengar,"Under a full moon, this Pokemon likes to mimic the shadows of people and laugh at their fright. A Gengar is close by if you feel a sudden chill. It may be trying to lay a curse on you"
095,Onix,"As it grows, the stone portions of its body harden to become similar to diamond, but colored black. Burrows at high speed in search of food. The tunnels it leaves are used as homes by Digletts."
096,Drowzee,"Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams. If you sleep by it all the time, it will sometimes show you dreams it has eaten in the past."
097,Hypno,"When it locks eyes with and enemy, it will use a mix of PSI moves such as Hypnosis and Confusion. Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum."
098,Krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways. Its pincers are superb weapons. They sometimes break off during battle, but they grow back fast."
099,Kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use. One claw grew massively and as hard as steel. It has 10,000-HP strength. However, it is too heavy."
100,Voltorb,"Usually found in power plants. Easily mistaken for a Pokeball, they have zapped many people. Usually found in power plants. Easily mistaken for a Pokeball, they have zapped many people."
101,Electrode,It stores electric energy under very high pressure. It often explodes with little or no provocation. Stores electrical energy in its body. Even the slightest shock could trigger a huge explosion.
102,Exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms. The heads attract each other and spin around. There must be 6 heads for it to maintain balance."
103,Exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an Exeggcute. Its cries are very noisy. This is because each of the 3 heads thinks about whatever it likes."
104,Cubone,"Because it never removes its skull helmet, no one has ever seen this Pokemon's real face. Wears the skull of its deceased mother. Its cries echo inside the skull and come out as a sad melody."
105,Marowak,"The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets. Small and weak, this Pokemon is adept with its bone club. It has grown more vicious over the ages."
106,Hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides. When kicking, the sole of its foot turns as hard as a diamond on impact and destroys its enemy."
107,Hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see. Punches in cork-screw fashion. It can punch its way through a concrete wall in the same way as a drill."
108,Lickitung,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies. Its tongue spans almost 7 feet and moves more freely than its forelegs. Its licks can cause paralysis.
109,Koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning. In hot places, its internal gases could expand and explode without any warning. Be very careful!"
110,Weezing,"Where two kinds of poison gases meet, 2 Koffings can fuse into a Weezing over many years. It lives and grows by absorbing dust, germs and poison gases that are contained in toxic waste and garbage."
111,Rhyhorn,"Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying. A POKeMON with a one-track mind. Once it charges, it won't stop running until it falls asleep"
112,Rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees. Walks on its hind legs. Shows signs of intelligence. Its armor-like hide even repels molten lava."
113,Chansey,A rare and elusive POKeMON that is said to bring happiness to those who manage to get it A gentle and kind-hearted POKeMON that shares its nutritious eggs if it sees an injured POKeMON.
114,Tangela,"The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks. Its identity is obscured by masses of thick, blue vines. The vines are said to never stop growing."
115,Kangaskhan,The infant rarely ventures out of its mother's protective punch until it is 3 years old. Raises its young in its belly pouch. Won't run from any fight to keep its young protected.
116,Horsea,"Known to shoot down flying bugs with precision blasts of ink from the surface of the water. If it senses danger, it will vigorously spray water or a special type of ink from its mouth."
117,Seadra,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail. Touching the back fin causes numbness. It hooks its tail to coral to stay in place while sleeping.
118,Goldeen,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen. When it is time for them to lay their eggs, they can be seen swimming up rivers and falls in large groups."
119,Seaking,"In the autumn spawning season, they can be seen swimming powerfully up rivers and creeks. It is the male's job to make a nest by carving out boulders in a stream using the horn on its head."
120,Staryu,"An enigmatic Pokemon that can effortlessly regenerate any appendage it loses in battle. As long as the center section is unharmed, it can grow back fully even if it is chopped to bits."
121,Starmie,Its central core glows with the seven colors of the rainbow. Some people value the core as a gem. The center section is named the core. People think that it is communicating when it glows in 7 colors.
122,Mr. Mime,"If interrupted while it is miming, it will slap around the offender with its broad hands Always practices its pantomime act. It makes enemies believe something exists that really doesn't."
123,Scyther,"With ninja-like agility and speed, it can created the illusion that there is more than one. Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja."
124,Jynx,"It seductively wiggles its hips as it walks. It can cause people to dance in unison with it Appears to move to a rhythm of its own, as if it were dancing. It wiggles its hips as it walks."
125,Electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities. If a major power outage occurs, its is certain that this Pokemon has eaten electricity at a power plant."
126,Magmar,"Its body always burns with an orange glow that enables it to hide perfectly among flames. Born in a active volcano. Its body is always cloaked in flames, so it looks like a big ball of fire."
127,Pinsir,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard. Grips its prey with its pincers and squeezes hard! It can't move if it's cold, so it lives in warm places."
128,Tauros,"When it targets an enemy, it charges furiously while whipping its body with its long tails. A rowdy Pokemon with a lot of stamina. Once running, it won't stop until it hits something."
129,Magikarp,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today. Famous for being very unreliable. It can be found swimming in seas, lakes, rivers and shallow puddles."
130,Gyarados,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage. Brutally vicious and enormously destructive. Known for totally destroying cities in ancient times."
131,Lapras,A Pokemon that has been over hunted almost to extinction. It can ferry people across the water. A gentle soul that can read the minds of people. It can ferry people across the sea on its back.
132,Ditto,"Capable of copying an enemy's genetic code to instantly transform itself into a duplicate of the enemy. When it spots an enemy, its body transfigures into an almost perfect copy of its opponent."
133,Eevee,"Its genetic code is irregular. It may mutate if it is exposed to radiation from element Stones. Its genetic code is unstable, so it could evolve in a variety of ways. There are only a few alive."
134,Vaporeon,Lives close to water. Its long tail is ridged with a fin which is often mistaken for a mermaid's. Its structure is similar to water molecules. It will melt away and become invisible in water.
135,Jolteon,"It accumulates negative ions in the atmosphere to blast out 10000-volt lightning bolts. A sensitive Pokemon that easily becomes sad or angry. Every time it's mood changes, it charges power."
136,Flareon,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees. It has a flame chamber inside its body. It inhales, then blows out fire that is over 3,000F degrees."
137,Porygon,"A Pokemon that consists entirely of programming code. Capable of moving freely in cyberspace. The only Pokemon people anticipate can fly into space. None has managed the feat yet, however."
138,Omanyte,"Although long extinct, in rare cases, it can be genetically resurrected from fossils. An ancient Pokemon that was recovered from a fossil. It swims by cleverly twisting its 10 tentacles about."
139,Omastar,"A prehistoric Pokemon that died out when its heavy shell made it impossible to catch prey. Sharp beaks ring its mouth. Its shell was too big for it to move freely, so it became extinct"
140,Kabuto,A Pokemon that was resurrected from a fossil found in what was once the ocean floor eons ago. A Pokemon that was recovered from a fossil. It uses the eyes on its back while hiding on the sea floor.
141,Kabutops,Its sleek shape is perfect for swimming. It slashes prey with its claws and drains the body fluids. A slim and fast swimmer. It slices its prey with its sharp sickles and drains the body fluids.
142,Aerodactyl,"A ferocious, prehistoric Pokemon that goes for the enemy's throat with its serrated saw-like fangs. A savage Pokemon that died out in ancient times. It was resurrected using DNA taken from amber."
143,Snorlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful. Will eat anything, even if the food happens to be a little moldy. It never gets an upset stomach."
144,Articuno,A legendary bird Pokemon that is said to appear to doomed people who are lost in icy mountains. A legendary bird Pokemon. It freezes water that is contained in winter air and makes it snow.
145,Zapdos,A legendary bird Pokemon that is said to appear from clouds while dropping enormous lightning bolts. This legendary bird Pokemon is said to appear when the sky turns dark and the lightning showers down..
146,Moltres,"Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames. A legendary bird Pokemon. As it flaps its flaming wings, even the night sky will turn red."
147,Dratini,Long considered a mythical Pokemon until recently when a small colony was found living underwater. The existence of this mythical Pokemon was only recently confirmed by a fisherman who caught one.
148,Dragonair,"A mystical Pokemon that exudes a gentle aura. Has the ability to change climate conditions. According to a witness, its body was surrounded by a strange aura that gave it a mystical look."
149,Dragonite,"An extremely rarely seen marine POKeMON. Its intelligence is said to match that of humans. It is said that this Pokemon lives somewhere in the sea and that it flies. However, it is only a rumor."
150,Mewtwo,"It was created by a scientist after years of horrific gene splicing and DNA engineering experiments. Its DNA is almost the same as Mew's. However, its size and disposition are vastly different"
151,Mew,"So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide. When viewed through a microscope, this Pokemon's short, fine, delicate hair is seen."
